axis2_placement_3d (15)
ID,name,location,axis,ref_direction
117,,cartesian_point 114,direction 115,direction 116
138,,cartesian_point 135,direction 136,direction 137
143,,cartesian_point 140,direction 141,direction 142
168,,cartesian_point 165,direction 166,direction 167
189,,cartesian_point 186,direction 187,direction 188
194,,cartesian_point 191,direction 192,direction 193
235,,cartesian_point 232,direction 233,direction 234
259,,cartesian_point 256,direction 257,direction 258
274,,cartesian_point 271,direction 272,direction 273
288,,cartesian_point 285,direction 286,direction 287
302,,cartesian_point 299,direction 300,direction 301
316,,cartesian_point 313,direction 314,direction 315
329,,cartesian_point 326,direction 327,direction 328
348,,cartesian_point 345,direction 346,direction 347
362,,cartesian_point 359,direction 360,direction 361
