cartesian_point (44)
ID,name,coordinates
114,,30.0 20.0 -30.0
121,,30.0 40.0 -30.0
125,,-50.0 40.0 -30.0
129,,-50.0 -40.0 -30.0
133,,50.0 -40.0 -30.0
135,,-20.0 -20.0 -30.0
140,,-20.0 -20.0 -30.0
147,,50.0 20.0 30.0
151,,50.0 -40.0 -30.0
155,,-50.0 -40.0 -30.0
159,,-50.0 40.0 -30.0
163,,30.0 40.0 30.0
165,,30.0 20.0 30.0
172,,50.0 -40.0 30.0
176,,-50.0 -40.0 30.0
180,,-50.0 40.0 30.0
184,,30.0 40.0 30.0
186,,-20.0 -20.0 30.0
191,,-20.0 -20.0 30.0
198,,-26.0 -20.0 30.0
202,,-14.0 -20.0 30.0
204,,-50.0 40.0 -30.0
205,,-50.0 -40.0 -30.0
208,,50.0 -40.0 -30.0
210,,-50.0 40.0 30.0
211,,-50.0 -40.0 30.0
214,,50.0 -40.0 30.0
216,,30.0 40.0 -30.0
217,,50.0 20.0 -30.0
220,,50.0 20.0 30.0
222,,30.0 40.0 30.0
224,,-26.0 -20.0 -30.0
225,,-14.0 -20.0 -30.0
228,,-26.0 -20.0 30.0
229,,-14.0 -20.0 30.0
232,,0.0 0.0 -30.0
256,,30.0 20.0 108.216
271,,50.0 -40.0 -30.0
285,,-50.0 -40.0 -30.0
299,,-50.0 40.0 -30.0
313,,50.0 40.0 -30.0
326,,0.0 0.0 30.0
345,,-20.0 -20.0 36.0
359,,-20.0 -20.0 36.0
