colour_rgb (106)
ID,name,red,green,blue
1,,0.0,0.0,0.47
2,,0.0,0.0,0.6
3,,0.0,0.0,0.8
5,,0.0,0.2,1.0
6,,0.0,0.33,0.0
7,,0.0,0.33,0.33
8,,0.0,0.4,0.0
9,,0.0,0.4,0.4
10,,0.0,0.4,1.0
11,,0.0,0.53,0.53
12,,0.0,0.6,0.0
13,,0.0,0.6,0.6
14,,0.0,0.6,1.0
15,,0.0,0.8,0.0
16,,0.0,0.8,0.8
17,,0.0,0.8,1.0
18,,0.0,0.93,0.0
19,,0.0,0.93,0.93
21,,0.0,1.0,0.2
22,,0.0,1.0,0.4
23,,0.0,1.0,0.6
24,,0.0,1.0,0.8
26,,0.07,0.07,1.0
27,,0.2,1.0,0.0
28,,0.2,1.0,0.2
29,,0.2,1.0,1.0
30,,0.27,0.0,0.4
31,,0.27,0.27,0.0
32,,0.27,0.27,1.0
33,,0.33,0.0,0.0
34,,0.33,0.0,0.33
35,,0.33,0.0,0.53
36,,0.4,0.0,0.4
37,,0.4,0.0,0.67
38,,0.4,0.13,0.0
39,,0.4,0.4,0.0
40,,0.4,0.4,1.0
41,,0.4,1.0,0.0
42,,0.4,1.0,0.4
43,,0.4,1.0,1.0
44,,0.47,0.0,0.0
45,,0.47,0.0,0.8
46,,0.47,0.0,0.87
47,,0.47,0.2,0.07
48,,0.47,0.47,0.47
49,,0.53,0.0,0.93
50,,0.53,0.27,0.13
51,,0.53,0.53,1.0
52,,0.6,0.0,0.6
53,,0.6,0.2,1.0
54,,0.6,0.33,0.2
55,,0.6,0.6,0.0
56,,0.6,0.6,1.0
57,,0.6,1.0,0.6
58,,0.6,1.0,1.0
59,,0.67,0.0,0.0
60,,0.67,0.0,0.53
61,,0.67,0.4,0.27
62,,0.67,0.4,1.0
63,,0.67,0.67,1.0
64,,0.67,1.0,0.0
65,,0.73,0.27,1.0
66,,0.73,0.4,0.0
67,,0.73,0.47,0.33
68,,0.73,0.73,0.73
69,,0.8,0.0,0.8
70,,0.8,0.53,0.4
71,,0.8,0.6,1.0
72,,0.8,0.8,0.0
73,,0.8,0.8,1.0
74,,0.8,1.0,0.8
75,,0.8,1.0,1.0
76,,0.87,0.0,0.0
77,,0.87,0.6,0.47
78,,0.88,1.0,0.69
79,,0.93,0.0,0.93
80,,0.93,0.67,0.53
81,,0.93,0.8,1.0
82,,0.93,0.93,0.0
83,,0.93,1.0,0.93
84,,0.93,1.0,1.0
86,,1.0,0.0,0.27
87,,1.0,0.0,0.47
89,,1.0,0.07,0.07
90,,1.0,0.2,1.0
91,,1.0,0.27,0.0
92,,1.0,0.27,0.27
93,,1.0,0.4,1.0
94,,1.0,0.47,0.0
95,,1.0,0.47,0.47
96,,1.0,0.47,0.53
97,,1.0,0.6,1.0
98,,1.0,0.67,0.0
99,,1.0,0.67,0.67
100,,1.0,0.73,0.53
101,,1.0,0.73,0.6
102,,1.0,0.8,0.8
103,,1.0,0.8,1.0
104,,1.0,0.87,0.0
105,,1.0,0.93,0.93
106,,1.0,0.93,1.0
108,,1.0,1.0,0.13
109,,1.0,1.0,0.33
110,,1.0,1.0,0.53
111,,1.0,1.0,0.73
112,,1.0,1.0,0.93
