direction (45)
ID,name,direction_ratios
115,,0.0 0.0 -1.0
116,,0.0 1.0 0.0
119,,-1.0 0.0 0.0
123,,0.0 -1.0 0.0
127,,1.0 0.0 0.0
131,,0.0 1.0 0.0
136,,0.0 0.0 -1.0
137,,-1.0 0.0 0.0
141,,0.0 0.0 -1.0
142,,1.0 0.0 0.0
145,,0.0 0.0 -1.0
149,,0.0 0.0 1.0
153,,0.0 0.0 1.0
157,,0.0 0.0 1.0
161,,0.0 0.0 -1.0
166,,0.0 0.0 1.0
167,,1.0 0.0 0.0
170,,0.0 1.0 0.0
174,,1.0 0.0 0.0
178,,0.0 -1.0 0.0
182,,-1.0 0.0 0.0
187,,0.0 0.0 -1.0
188,,-1.0 0.0 0.0
192,,0.0 0.0 -1.0
193,,1.0 0.0 0.0
196,,0.0 0.0 -1.0
200,,0.0 0.0 -1.0
233,,0.0 0.0 1.0
234,,1.0 0.0 0.0
257,,0.0 0.0 -1.0
258,,0.0 1.0 0.0
272,,1.0 0.0 0.0
273,,0.0 1.0 0.0
286,,0.0 -1.0 0.0
287,,1.0 0.0 0.0
300,,-1.0 0.0 0.0
301,,0.0 -1.0 0.0
314,,0.0 1.0 0.0
315,,-1.0 0.0 0.0
327,,0.0 0.0 1.0
328,,1.0 0.0 0.0
346,,0.0 0.0 -1.0
347,,-1.0 0.0 0.0
360,,0.0 0.0 -1.0
361,,-1.0 0.0 0.0
