line (15)
ID,name,pnt,dir
122,,cartesian_point 121,vector 120
126,,cartesian_point 125,vector 124
130,,cartesian_point 129,vector 128
134,,cartesian_point 133,vector 132
148,,cartesian_point 147,vector 146
152,,cartesian_point 151,vector 150
156,,cartesian_point 155,vector 154
160,,cartesian_point 159,vector 158
164,,cartesian_point 163,vector 162
173,,cartesian_point 172,vector 171
177,,cartesian_point 176,vector 175
181,,cartesian_point 180,vector 179
185,,cartesian_point 184,vector 183
199,,cartesian_point 198,vector 197
203,,cartesian_point 202,vector 201
