oriented_edge (42)
ID,name,edge_start,edge_end,edge_element,orientation
238,,,,edge_curve 237,FALSE
240,,,,edge_curve 239,TRUE
242,,,,edge_curve 241,TRUE
244,,,,edge_curve 243,TRUE
246,,,,edge_curve 245,TRUE
250,,,,edge_curve 249,TRUE
252,,,,edge_curve 251,TRUE
261,,,,edge_curve 237,TRUE
263,,,,edge_curve 262,FALSE
265,,,,edge_curve 264,TRUE
267,,,,edge_curve 266,TRUE
276,,,,edge_curve 262,TRUE
277,,,,edge_curve 245,FALSE
279,,,,edge_curve 278,TRUE
281,,,,edge_curve 280,TRUE
290,,,,edge_curve 243,FALSE
292,,,,edge_curve 291,TRUE
294,,,,edge_curve 293,TRUE
295,,,,edge_curve 278,FALSE
304,,,,edge_curve 241,FALSE
306,,,,edge_curve 305,TRUE
308,,,,edge_curve 307,TRUE
309,,,,edge_curve 291,FALSE
318,,,,edge_curve 266,FALSE
320,,,,edge_curve 319,TRUE
321,,,,edge_curve 305,FALSE
322,,,,edge_curve 239,FALSE
331,,,,edge_curve 264,FALSE
332,,,,edge_curve 280,FALSE
333,,,,edge_curve 293,FALSE
334,,,,edge_curve 307,FALSE
335,,,,edge_curve 319,FALSE
339,,,,edge_curve 338,FALSE
341,,,,edge_curve 340,FALSE
350,,,,edge_curve 249,FALSE
352,,,,edge_curve 351,FALSE
353,,,,edge_curve 338,TRUE
355,,,,edge_curve 354,TRUE
364,,,,edge_curve 251,FALSE
365,,,,edge_curve 354,FALSE
366,,,,edge_curve 340,TRUE
367,,,,edge_curve 351,TRUE
